Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements	Class_Size	Notes
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_3	3	zone	Adverbials	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_4	4	slot	Negation	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_5	5	slot	Constituent Focus/Interrogative	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_6	6	slot	Negation	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_7	7	slot	Indefinite Proforms	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_8	8	slot	S/A Np	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_9	9	slot	Person Indexes (S/A)	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_10	10	slot	Verb Core	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_11	11	slot	Valency	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_12	12	slot	Negation	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_13	13	slot	Tense	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_14	14	slot	Nominalization, Mood	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_15	15	slot	Gender/Number	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_16	16	slot	Imperative	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_17	17	slot	Middle	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_18	18	slot	Perfective	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_19	19	zone	Habitual, Frustrative	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_20	20	slot	Discourse Markers	NA	NA
yucu1253	Yukuna	yucu1253_verbal	verbal	yucu1253_v_21	21	zone	P, Pp, Obl, Adv, Remote Past	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_1	1	slot	Connector	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_2	2	zone	Noun Phrase {A,S,P,R,T}, Adverbial, Postpositional Phrase	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_3	3	slot	Tsi	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_4	4	slot	Evidential/Modal	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_5	5	slot	Affective	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_6	6	slot	Noun Phrase {A,S,P,R,T}, Adverbial, Postpositional Phrase	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_7	7	slot	Body Part Incorporation	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_8	8	slot	Verb Core	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_9	9	slot	Valence 1 (Transitivity)	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_10	10	slot	Valence 2 (Antipassive -Mis, Causative1 -Wa)	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_11	11	zone	Valence 3 (Passive -ʔaka, Interactional -Na), Negation =Yama	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_12	12	zone	Valence 4 (Interactional =Bɨki, Causative2 =Ma)	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_13	13	slot	Completive =Yo	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_14	14	slot	Associated Motion	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_15	15	slot	Punctual =Tapi	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_16	16	zone	Aspect, Durative =Kas	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_17	17	zone	Adverbial/Modal	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_18	18	slot	Tsi	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_19	19	slot	Evidential/Modal	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_20	20	zone	Noun Phrase (A,S), Postpositional Phrase	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_21	21	slot	Transitive (Wa)	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_22	22	slot	Third Person Plural =Kan, Aspect: Durative, Associated Motion, Adverbial	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_23	23	slot	Temporal Distance	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_24	24	slot	Clause Rank And Type	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_25	25	slot	Evidential/Modal	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_26	26	slot	Noun Phrase {A,S}	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_27	27	slot	Affective/Modal	NA	NA
chac1251	Chácobo	chac1251_verbal	verbal	chac1251_v_28	28	slot	Noun Phrase {P}, Postpositional Phrase	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_1	1	slot	Proclitic	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_2	2	zone	Dps, Adjuncts	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_3	3	slot	Person Prefix	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_4	4	zone	Preverbs (Incl. Root)	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_5	5	slot	Medial	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_6	6	slot	Concrete Final (Incl. Root)	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_7	7	slot	Abstract Final	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_8	8	slot	Theme Suffix	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_9	9	slot	Clause-Typing Suffix	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_10	10	slot	Plural Agreement	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_11	11	slot	Complementizer	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_12	12	slot	Dp/Clitic	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_13	13	slot	Dp/Clitic	NA	NA
siks1238	Blackfoot	siks1238_verbal	verbal	siks1238_v_14	14	slot	Bare Np, Bare Plural	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_1	1	slot	Connector	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_2	2	zone	Sentence Adv., Topicalization	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_3	3	slot	Polar Gq, `Even', `Only'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_4	4	zone	Noun Complex, Adverb	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_5	5	slot	Focus	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_6	6	slot	Anterior/Posterior	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_7	7	slot	`Almost'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_8	8	slot	Negation + Ant/Post	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_9	9	slot	Temporal Sequence	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_10	10	slot	Modality, Evidentiality	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_11	11	slot	`A Little'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_12	12	slot	Past Habitual, `Always'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_13	13	slot	Negation + Ant/Post 2	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_14	14	slot	Adverb, Pronoun (P/R)	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_15	15	slot	Progressive	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_16	16	slot	Aspect/Mode	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_17	17	slot	Associated Motion	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_18	18	slot	Causative, Inchoative	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_19	19	slot	Verb Root(S)	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_20	20	slot	Comitative	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_21	21	slot	Focus	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_22	22	slot	Temporal Sequence	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_23	23	slot	Modality, Evidentiality	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_24	24	slot	`A Little'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_25	25	slot	Past Habitual, `Always'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_26	26	zone	Adverbial/Quantifier Clitics	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_27	27	slot	Modal Clitics	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_28	28	slot	Pronominal Clitics	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_29	29	zone	Noun Complex, Adverb	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_30	30	slot	Attitudinal Particles	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_31	31	zone	Afterthoughts, Vocative Words	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_1	1	slot	`More', `Also'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_2	2	slot	Temporal Sequence	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_3	3	slot	Modality, Evidentiality	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_4	4	slot	`A Little'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_5	5	slot	Additive, `Entire'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_6	6	slot	Numeral, Quantifier	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_7	7	slot	Temporal Sequence	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_8	8	slot	Modality, Evidentiality	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_9	9	slot	`A Little'	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_10	10	slot	Noun Root(S)	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_11	11	slot	Adjective	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_12	12	slot	Possesssor	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_13	13	slot	Demonstrative	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_14	14	slot	Relative Clause	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_15	15	slot	Absolute State Marker	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_16	16	slot	Temporal Sequence	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_17	17	slot	Modality, Evidentiality	NA	NA
ayau1235	Ayautla Mazatec	ayau1235_nominal	nominal	ayau1235_n_18	18	slot	`A Little'	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_1	1	slot	Conjunction	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_2	2	zone	Np (A, S, P)	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_3	3	zone	Adverbial	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_4	4	slot	Mood (Conditional, Interrogative)	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_5	5	zone	Mood (Negation, Hypothetical)	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_6	6	zone	Adverbial	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_7	7	slot	Aspect-Mood	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_8	8	slot	Transitivity	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_9	9	slot	Auxiliary	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_10	10	slot	Aspect-Mood	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_11	11	slot	Causative, Iterative	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_12	12	slot	Transitivity	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_13	13	slot	Verb Root	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_14	14	slot	Compound Stem, Applicative	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_15	15	zone	Adverbial	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_16	16	slot	Essence	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_17	17	zone	Subject Np (A, S)	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_18	18	zone	Np (P, T, R)	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_19	19	zone	Adverbial	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_20	20	slot	Tense	NA	NA
zenz1235	Zenzontepec Chatino	zenz1235_verbal	verbal	zenz1235_v_21	21	zone	Discourse Marker, Adverbial	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_1	1	zone	Possessor Np, Relative Clause, Quantifier, Zone Numeral, Demonstrative	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_2	2	slot	Genitive Noun Complex	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_3	3	slot	Prefix	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_4	4	slot	Noun Root	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_5	5	slot	Augmentative, Veridative, Similative	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_6	6	slot	Adjective, Xeni-Phrase	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_7	7	zone	Numeral, Relative Clause, Demonstrative	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_8	8	slot	Conjunct	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_9	9	zone	Plural, Dative	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_10	10	slot	Case	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_11	11	slot	Limitative, Interactive	NA	NA
chac1251	Chácobo	chac1251_nominal	nominal	chac1251_n_12	12	slot	Equalative	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_1	1	slot	Prepositions	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_2	2	slot	Topicalizer	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_3	3	slot	Other	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_4	4	slot	Numerals	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_5	5	slot	Quantifiers 1	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_6	6	slot	Quantifiers 2	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_7	7	slot	Classifier	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_8	8	slot	Noun Base	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_9	9	slot	Compound (2nd Part)	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_10	10	zone	Adjectives	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_11	11	zone	Possessor	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_12	12	slot	Demonstrative	NA	NA
dura0000	San Martín Duraznos Mixtec	dura0000_nominal	nominal	dura0000_n_13	13	zone	Relative Clause	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_1	1	zone	Np, Pp, S	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_2	2	slot	Already =�A	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_3	3	slot	Already =Raq	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_4	4	slot	Certainly =Puni	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_5	5	slot	Adverbial, Coord. =Taq	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_6	6	slot	Uncertainty =Sina	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_7	7	slot	Also =Pis	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_8	8	slot	Top., Neg., Dub., Assert. =Chu, =Chus, =Ch�, =Pis	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_9	9	slot	Interrogative =Ri, , =R�	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_10	10	slot	Topic Marker =Qa	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_11	11	zone	Np, Pp, S	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_12	12	slot	Verb Root	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_13	13	slot	Derivational Suffixes And Clusters	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_14	14	slot	Inceptive -Ri	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_15	15	slot	Reciprocal -Na	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_16	16	zone	Adverbial, Assistive -Rqu,-Rpa,-Ysi	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_17	17	slot	Affective -Ri	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_18	18	slot	Causative, Passive -Chi, -Chiku	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_19	19	slot	Reflexive, Motion, Adverbial -Ku,-Mu,-Pu, -Kampu,-Kapu,-Mpu	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_20	20	slot	Proximal Future -Naya	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_21	21	slot	Progressive -Sha	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_22	22	slot	Limitative -Lla	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_23	23	slot	1.Obj -Wa	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_24	24	slot	When -Qti	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_25	25	zone	Tame, Second Person -Rqa,-Sqa,-Na, -Su,-Sa	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_26	26	slot	A/Sperson -Ni, -Yki,-Nki,-N	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_27	27	slot	Future:3.Obj -Q(A)	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_28	28	slot	Person -N	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_29	29	slot	Plural -Chik, -Yku, -Ku	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_30	30	slot	Limitative -Lla	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_31	31	zone	Np, Pp, S	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_32	32	slot	Already =�A	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_33	33	slot	Already =Raq	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_34	34	slot	Certainly =Puni	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_35	35	slot	Adverbial, Coord. =Taq	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_36	36	slot	Uncertainty =Sina	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_37	37	slot	Also =Pis	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_38	38	slot	Top., Neg., Dub., Assert. =Chu, =Chus, =Ch�	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_39	39	slot	Interrogative =Ri, =R�	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_40	40	slot	Topic Marker =Qa	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_41	41	slot	Regretative Karqa, Kaq	NA	NA
sout2991	South Bolivian Quechua	sout2991_verbal	verbal	sout2991_v_42	42	zone	Np, Pp, S	NA	NA
